Summer,,,,,,,,,,,
day minimum temperature,daily maximum temperature,daily maximum temperature,average relative humidity,average wind speed,"daily rainfall,",sunshine hours,"average
surface temperature",average air pressure,,,
43,88,66,82,22,3,0,75,10216,,,
61,121,94,92,31,24,1,102,10196,,,
73,158,109,87,29,12,10,120,10172,,,
85,163,110,83,33,16,17,126,10210,,,
63,162,109,71,24,0,92,131,10238,,,
89,172,123,68,18,0,80,153,10230,,,
74,203,126,64,27,0,97,143,10241,,,
47,151,95,67,27,0,117,133,10263,,,
54,163,105,73,10,0,47,137,10222,,,
52,213,138,62,10,0,106,151,10190,,,
